rank,action_key,total_amount,average_rate_per_second,mean_time_seconds,remaining_fraction_moment_1,node_type,name,synthetic,source,coproduct
1,__pr_graph_lp_or_to_or_and__: 791:item: coal --> energy-source-burner: chemical_2_0,1131589930055.4465,1885983216.7590775,384.5554217635064,0.3590742970608227,,,True,item: coal --> energy-source-burner: chemical_2_0,False
2,energy-source-electric: ,150481582729.7174,250802637.88286236,456.3446674139296,0.23942555431011736,energy-source-electric,,False,,False
3,entity-operate: burner-mining-drill,5423427.0142431855,9039.045023738643,377.1111459442128,0.37148142342631196,entity-operate,burner-mining-drill,False,,False
4,entity-operate: stone-furnace,3534176.421321875,5890.294035536458,403.5949761823988,0.3273417063626686,entity-operate,stone-furnace,False,,False
5,__pr_graph_lp_or_to_or_and__: 1084:entity-operate: stone-furnace --> recipe-category: smelting__0__0:noncoproduct-route,3534176.4213218745,5890.294035536457,403.5949761823988,0.3273417063626687,,,True,entity-operate: stone-furnace --> recipe-category: smelting__0__0,False
6,__pr_graph_lp_or_to_or_and__: 1103:entity-operate: burner-mining-drill --> resource-category: basic-solid__0__0:noncoproduct-route,1355856.7535607964,2259.7612559346608,377.1111459442128,0.37148142342631196,,,True,entity-operate: burner-mining-drill --> resource-category: basic-solid__0__0,False
7,entity-operate: assembling-machine-1,1284483.1892347462,2140.8053153912438,448.27006768678297,0.2528832205220284,entity-operate,assembling-machine-1,False,,False
8,__pr_graph_lp_or_to_or_and__: 906:fluid-temperature: water: 15 --> fluid-temperature-range: water: nil: nil:noncoproduct-route,779902.824903379,1299.8380415056315,487.14083144088016,0.18809861426519967,,,True,fluid-temperature: water: 15 --> fluid-temperature-range: water: nil: nil,False
9,fluid-temperature: water: 15,779902.824903379,1299.8380415056315,487.14083144088016,0.18809861426519967,fluid-temperature,water: 15,False,,False
10,__pr_graph_lp_or_to_or_and__: 113:fluid-create-offshore-temperature: water: 15 --> fluid-create-temperature: water: 15,779902.8249033788,1299.8380415056315,487.14083144088016,0.1880986142651997,,,True,fluid-create-offshore-temperature: water: 15 --> fluid-create-temperature: water: 15,False
11,__pr_graph_lp_or_to_or_and__: 923:fluid-temperature: crude-oil: 25 --> fluid-temperature-range: crude-oil: nil: nil:noncoproduct-route,778908.906569671,1298.1815109494516,484.9011577248163,0.19183140379197286,,,True,fluid-temperature: crude-oil: 25 --> fluid-temperature-range: crude-oil: nil: nil,False
12,fluid-temperature: crude-oil: 25,778908.906569671,1298.1815109494516,484.9011577248163,0.19183140379197286,fluid-temperature,crude-oil: 25,False,,False
13,entity-mine: iron-ore,608001.2775827365,1013.3354626378941,362.8723192388481,0.3952128012685865,entity-mine,iron-ore,False,,True
14,__pr_graph_lp_or_to_or_and__: 195:item-craft: iron-plate --> item: iron-plate,607556.8095243394,1012.5946825405656,366.490604332476,0.38918232611254,,,True,item-craft: iron-plate --> item: iron-plate,False
15,recipe: iron-plate,607556.8095243394,1012.5946825405656,362.8963570241399,0.3951727382931002,recipe,iron-plate,False,,True
16,__pr_graph_lp_or_to_or_and__: 1071:entity-operate: assembling-machine-1 --> recipe-category: crafting__0__0:noncoproduct-route,596518.9001160982,994.1981668601637,444.9634468165827,0.2583942553056955,,,True,entity-operate: assembling-machine-1 --> recipe-category: crafting__0__0,False
